transaction_id,customer_id,transaction_date,product_id,quantity,unit_price,payment_method,discount_applied,transaction_status,review_text
TX_0000003568,CUST0429,2024-12-29,WZ-802,30,448000,Credit Card,6.0,Completed,
TX_0000001323,CUST0165,2025-09-20,LE-969,31,326000,E-wallet,7.0,Completed,
TX_0000007976,CUST0969,2025-09-19,CR-562,22,326000,E-wallet,8.0,Completed,
TX_0000002408,CUST0293,2025-04-23,BL-316,38,418000,Credit Card,42.0,Completed,
TX_0000004435,CUST0537,2025-08-28,KL-203,3,15000,E-wallet,27.0,Completed,
TX_0000005447,CUST0661,2025-09-22,QQ-301,19,321000,Cash,4.0,Completed,
TX_0000003024,CUST0370,2025-02-10,GW-908,21,473000,Bank Transfer,40.0,Completed,
TX_0000001534,CUST0193,2025-06-19,GF-891,7,329000,Credit Card,12.0,Completed,Very slow shipping
TX_0000000264,CUST0033,2025-01-16,ON-125,40,105000,Debit Card,40.0,Completed,
TX_0000000744,CUST0093,2024-10-27,EC-962,30,161000,Debit Card,16.0,Completed,
TX_0000003860,CUST0462,2025-08-28,IM-080,19,187000,Bank Transfer,47.0,Completed,
TX_0000007460,CUST0904,2024-09-30,WD-572,15,368000,Bank Transfer,26.0,Completed,
TX_0000005763,CUST0696,2025-07-23,BC-170,40,39000,Cash,46.0,Completed,
TX_0000004195,CUST0508,2024-11-28,ZK-154,24,160000,Cash,46.0,Completed,
TX_0000004127,CUST0501,2025-01-03,QJ-620,24,103000,Debit Card,0.0,Completed,A bit expensive but worth the quality
TX_0000001704,CUST0210,2025-01-26,SX-681,32,176000,Cash,,Completed,
TX_0000006700,CUST0811,2025-09-07,DY-596,20,211000,E-wallet,12.0,Completed,"Amazing product, exceeds expectations"
TX_0000008049,CUST0980,2025-03-20,FA-173,7,133000,Credit Card,46.0,Completed,
TX_0000005168,CUST0624,2024-10-25,CS-132,31,390000,Cash,,Completed,
TX_0000005499,CUST0667,2025-03-12,GD-567,37,27000,E-wallet,26.0,Pending,
TX_0000004782,CUST0576,2025-03-11,MN-198,33,281000,Cash,44.0,Completed,Product matches description
TX_0000006422,CUST0777,2025-08-31,NX-179,27,392000,Credit Card,6.0,Pending,"Honest seller, item as described"
TX_0000005181,CUST0626,2025-01-16,SV-880,25,148000,E-wallet,1.0,Completed,
TX_0000004837,CUST0583,2025-03-22,EK-900,21,321000,Credit Card,5.0,Completed,
TX_0000000801,CUST0101,2024-11-22,KK-056,10,163000,Bank Transfer,36.0,Completed,
TX_0000004662,CUST0559,2025-07-23,WJ-796,34,421000,Credit Card,10.0,Completed,
TX_0000004886,CUST0588,2024-04-11,AX-943,8,378000,Cash,31.0,Completed,"Item damaged upon arrival, disappointed"
TX_0000005585,CUST0679,2025-09-22,IU-155,9,371000,Credit Card,35.0,Completed,
TX_0000008101,CUST0986,2025-09-10,QZ-213,31,314000,Bank Transfer,37.0,Completed,
TX_0000002132,CUST0261,2025-09-04,AK-139,24,408000,E-wallet,14.0,Completed,Won't buy here again
TX_0000003617,CUST0433,2025-03-17,EK-222,24,482000,E-wallet,22.0,Completed,
TX_0000005846,CUST0705,2025-03-02,QC-773,24,381000,E-wallet,3.0,Completed,
TX_0000006418,CUST0776,2024-12-17,JN-712,30,483000,E-wallet,5.0,Completed,Response was slow but item is good
TX_0000006385,CUST0772,2025-03-14,IB-179,20,286000,Bank Transfer,43.0,Completed,
TX_0000005411,CUST0657,2025-09-08,BR-118,26,475000,Debit Card,41.0,Completed,
TX_0000005195,CUST0627,2025-02-08,TG-116,19,164000,Debit Card,5.0,Completed,"Item arrived quickly, good condition"
TX_0000007989,CUST0970,2024-11-03,DL-645,17,387000,E-wallet,20.0,Completed,
TX_0000005707,CUST0693,2025-02-06,XQ-134,7,152000,Credit Card,28.0,Completed,
TX_0000006792,CUST0823,2024-12-12,OS-728,24,393000,Bank Transfer,47.0,Completed,
TX_0000003952,CUST0473,2024-11-27,XW-869,12,241000,Debit Card,47.0,Cancelled,
TX_0000006907,CUST0838,2025-02-25,MM-874,32,332000,Debit Card,16.0,Cancelled,
TX_0000005598,CUST0680,2024-10-09,MA-854,20,170000,Debit Card,42.0,Completed,"Defective item, please replace"
TX_0000007275,CUST0882,2025-04-17,TL-807,12,284000,Cash,27.0,Completed,
TX_0000003379,CUST0409,2025-08-10,FX-130,28,159000,E-wallet,42.0,Completed,"Quality matches the price, decent enough"
TX_0000007202,CUST0874,2025-09-21,QZ-183,26,249000,Credit Card,28.0,Completed,Bit overpriced but quality is okay
TX_0000007901,CUST0961,2025-09-16,ZH-075,27,354000,Bank Transfer,4.0,Cancelled,Price matches quality
TX_0000002610,CUST0318,2024-10-02,NP-002,21,247000,Bank Transfer,48.0,Completed,Won't buy here again
TX_0000001143,CUST0140,2025-08-10,ER-793,16,107000,Debit Card,34.0,Completed,
TX_0000005120,CUST0619,2025-01-17,MM-626,38,146000,Debit Card,,Completed,
TX_0000003034,CUST0371,2025-01-18,LX-303,25,266000,E-wallet,46.0,Completed,
TX_0000004608,CUST0554,2024-10-22,TT-468,18,294000,Debit Card,13.0,Completed,
TX_0000006848,CUST0831,2024-10-21,VH-487,17,405000,Cash,17.0,Completed,
TX_0000000504,CUST0065,2025-03-06,PJ-943,15,288000,Credit Card,29.0,Completed,
TX_0000000234,CUST0031,2025-05-15,MP-128,8,392000,Credit Card,19.0,Completed,"Seller communicative, item is good"
TX_0000000519,CUST0067,2024-10-04,JC-536,8,34000,E-wallet,33.0,Completed,"Poor product, requesting refund"
TX_0000002081,CUST0255,2024-10-03,JR-931,1,85000,Cash,12.0,Completed,"Product not original, very disappointed"
TX_0000004546,CUST0548,2025-02-02,EG-848,34,377000,Credit Card,15.0,Completed,"Premium quality, very satisfied"
TX_0000003756,CUST0451,2025-08-16,VB-143,15,119000,Credit Card,46.0,Completed,
TX_0000003380,CUST0409,2025-08-09,CY-687,38,169000,Cash,0.0,Completed,
TX_0000006382,CUST0772,2024-12-22,TZ-942,19,197000,Bank Transfer,6.0,Completed,
